Strains	Cluster
253	R60	Cluster5
254	R61	Cluster6
255	R65	Cluster6
256	R71	Cluster5
257	R74	Cluster1
258	R77	Cluster1
259	R85	Cluster3
260	R9	Cluster3
261	RCL10	Cluster2
262	RCL11	Cluster1
263	RCL115	Cluster5
264	RCL117	Cluster6
265	RCL123	Cluster5
266	RCL127	Cluster1
267	RCL12A	Cluster1
268	RCL13	Cluster6
269	RCL130	Cluster6
270	RCL136	Cluster3
271	RCL140	Cluster1
272	RCL141A	Cluster6
273	RCL143	Cluster1
274	RCL144	Cluster2
275	RCL147	Cluster6
276	RCL152	Cluster1
277	RCL154	Cluster2
278	RCL17	Cluster5
279	RCL18	Cluster2
280	RCL2	Cluster3
281	RCL20	Cluster3
282	RCL21	Cluster4
283	RCL25	Cluster6
284	RCL28	Cluster5
285	RCL32	Cluster1
286	RCL33	Cluster3
287	RCL4	Cluster4
288	RCL41	Cluster5
289	RCL45	Cluster5
290	RCL52	Cluster6
291	RCL58	Cluster6
292	RCL63	Cluster5
293	RCL69	Cluster1
294	RCL71	Cluster3
295	RCL72	Cluster6
296	RCL81	Cluster5
297	RCL89	Cluster3
298	RCL9	Cluster1
299	RCL96	Cluster5
300	RMF10	Cluster3
301	RMF103	Cluster6
302	RMF105	Cluster6
303	RMF106	Cluster1
304	RMF107	Cluster1
305	RMF109	Cluster6
306	RMF11	Cluster3
307	RMF110	Cluster4
308	RMF111	Cluster3
309	RMF112	Cluster4
310	RMF113	Cluster1
311	RMF114	Cluster1
312	RMF115A	Cluster5
313	RMF125	Cluster5
314	RMF131	Cluster1
315	RMF135	Cluster1
316	RMF136	Cluster2
317	RMF138	Cluster1
318	RMF140	Cluster2
319	RMF157	Cluster5
320	RMF160	Cluster4
321	RMF161	Cluster1
322	RMF162	Cluster2
323	RMF164	Cluster4
324	RMF166A	Cluster5
325	RMF177	Cluster5
326	RMF178	Cluster3
327	RMF196	Cluster6
328	RMF20	Cluster1
329	RMF21	Cluster5
330	RMF212	Cluster5
331	RMF215	Cluster2
332	RMF217	Cluster6
333	RMF22	Cluster1
334	RMF220A	Cluster4
335	RMF224	Cluster3
336	RMF23	Cluster1
337	RMF231	Cluster2
338	RMF25	Cluster1
339	RMF254	Cluster2
340	RMF259	Cluster6
341	RMF26	Cluster6
342	RMF261	Cluster6
343	RMF267	Cluster3
344	RMF27	Cluster6
345	RMF273	Cluster3
346	RMF278	Cluster4
347	RMF279	Cluster6
348	RMF280	Cluster4
349	RMF283	Cluster4
350	RMF285	Cluster4
351	RMF29	Cluster1
352	RMF292	Cluster6
353	RMF295	Cluster1
354	RMF3	Cluster3
355	RMF300	Cluster3
356	RMF305	Cluster4
357	RMF31	Cluster3
358	RMF312A	Cluster4
359	RMF314	Cluster1
360	RMF322	Cluster3
361	RMF327	Cluster5
362	RMF329	Cluster3
363	RMF33	Cluster1
364	RMF331	Cluster1
365	RMF333	Cluster4
366	RMF339	Cluster1
367	RMF340	Cluster5
368	RMF345	Cluster4
369	RMF348	Cluster2
370	RMF349	Cluster3
371	RMF35	Cluster3
372	RMF350	Cluster4
373	RMF351	Cluster3
374	RMF36	Cluster3
375	RMF360	Cluster3
376	RMF362	Cluster5
377	RMF363	Cluster2
378	RMF365	Cluster1
379	RMF366	Cluster1
380	RMF369	Cluster1
381	RMF370	Cluster2
382	RMF374	Cluster1
383	RMF375	Cluster4
384	RMF376	Cluster1
385	RMF384	Cluster3
386	RMF389	Cluster3
387	RMF395	Cluster1
388	RMF397	Cluster3
389	RMF40	Cluster3
390	RMF41	Cluster6
391	RMF45	Cluster1
392	RMF451	Cluster3
393	RMF453	Cluster2
394	RMF455	Cluster4
395	RMF466	Cluster1
396	RMF467	Cluster5
397	RMF47	Cluster1
398	RMF48	Cluster2
399	RMF49	Cluster6
400	RMF491	Cluster6
401	RMF499	Cluster3
402	RMF5	Cluster6
403	RMF50	Cluster1
404	RMF51	Cluster5
405	RMF57	Cluster6
406	RMF6	Cluster6
407	RMF69	Cluster5
408	RMF7	Cluster6
409	RMF71	Cluster2
410	RMF77	Cluster2
411	RMF79	Cluster1
412	RMF8	Cluster4
413	RMF88	Cluster1
414	RMF9	Cluster1
415	RMF92	Cluster1
416	RMF95	Cluster5
417	RMF98A	Cluster6
