Strains	Mean	p.value	est	p.adj	Significance	Variable
RCL58	-2.62293195797968	6.52203840506522e-107	-2.81898499043741	5.54373264430544e-105	Down	Root
RCL58HK	0.0894320837597686	0.13495401006342	-0.106620948697964	1	NoSignificant	Root
RCL52	-2.17435576319643	6.90265360468729e-60	-2.37040879565416	5.8672555639842e-58	Down	Root
RCL52HK	0.0240672541456126	0.0160952400045076	-0.17198577831212	1	NoSignificant	Root
RMF369	-0.366068895391604	1.01338365951468e-06	-0.562121927849336	8.61376110587475e-05	Down	Root
RMF369HK	-0.217608440951029	1.6072606974043e-08	-0.413661473408761	1.36617159279366e-06	Down	Root
RMF164	0.54122842032371	6.86917437873183e-05	0.345175387865977	0.00583879822192205	Up	Root
RMF164HK	0.182816969740998	0.84730106409248	-0.0132360627167343	1	NoSignificant	Root
RMF366	-0.229045739444592	1.66154938082048e-05	-0.425098771902324	0.00141231697369741	Down	Root
RMF366HK	-0.00785296807202538	0.00345561103673242	-0.203906000529758	0.293726938122256	NoSignificant	Root
RMF160	-0.0104473111997624	0.0260859429084822	-0.206500343657495	1	NoSignificant	Root
RMF160HK	0.101136988286537	0.0960018641145021	-0.0949160441711958	1	NoSignificant	Root
L22	0.546318422266677	0.0042441356562272	0.350265389808944	0.360751530779312	NoSignificant	Root
L22HK	0.379023217348442	0.112114684491112	0.18297018489071	1	NoSignificant	Root
L67	0.298705749173941	0.00108076514360701	0.904812221272701	0.0453921360314946	Up	Suberin
L86	0.542137729692162	1.40081778138257e-07	1.14824420179092	5.8834346818068e-06	Up	Suberin
L179	-0.150268177174941	0.00291036061236396	0.45583829492382	0.122235145719286	NoSignificant	Suberin
L183	0.0300529686747076	0.000176436022623878	0.636159440773468	0.00741031295020288	Up	Suberin
L5	0.624722639266041	9.69656009091461e-05	1.2308291113648	0.00407255523818413	Up	Suberin
L61	-0.799491607488495	0.130398215230742	-0.193385135389735	1	NoSignificant	Suberin
L23	0.643921250177891	2.53784478480846e-05	1.25002772227665	0.00106589480961955	Up	Suberin
L32	0.44766902922846	8.34106593583487e-05	1.05377550132722	0.00350324769305065	Up	Suberin
CDEF	1.43091414045716	1.0350189093612e-10	2.03702061255592	4.34707941931703e-09	Up	Suberin
L176	0.0458937034442495	0.0209505978242014	0.65200017554301	0.879925108616458	NoSignificant	Suberin
L177	1.34493935682355	4.73418545854247e-07	1.95104582892231	1.98835789258784e-05	Up	Suberin
L226	1.32131806410824	7.6745954905292e-05	1.927424536207	0.00322333010602226	Up	Suberin
L247	1.40774808250927	4.51577597894625e-06	2.01385455460803	0.000189662591115743	Up	Suberin
L151	0.581006464410492	4.19263147128673e-05	1.18711293650925	0.00176090521794042	Up	Suberin
L159	-0.0280240623049229	0.0120086517419959	0.578082409793838	0.504363373163829	NoSignificant	Suberin
L201	0.98051698815878	0.00161396493509943	1.58662346025754	0.0677865272741759	Up	Suberin
L363	0.99808237737222	2.15247357300284e-05	1.60418884947098	0.000904038900661192	Up	Suberin
L222	-0.0451969931090578	0.0101071583207604	0.560909478989703	0.424500649471938	NoSignificant	Suberin
L145	-0.56191835214258	0.80413928124461	0.0441881199561811	1	NoSignificant	Suberin
L335	-0.343800826347173	0.0410244681489812	0.262305645751588	1	NoSignificant	Suberin
L334	-0.567685351636035	0.722267717298634	0.0384211204627257	1	NoSignificant	Suberin
L306	0.397480712160636	0.0217241940580618	1.0035871842594	0.912416150438596	NoSignificant	Suberin
L164	-0.428078290094791	0.662960823234012	0.17802818200397	1	NoSignificant	Suberin
L288	0.118493673068924	0.0111380421920714	0.724600145167685	0.467797772066998	NoSignificant	Suberin
L50	0.2309298339836	0.0181175853962208	0.837036306082361	0.760938586641272	NoSignificant	Suberin
RCL58	-1.91218829486447	7.47033707156054e-10	-1.30608182276571	3.13754157005543e-08	Down	Suberin
RCL130	-1.77647300058355	2.61864397653989e-06	-1.17036652848479	0.000109983047014675	Down	Suberin
RCL52	-2.08339518625706	7.36996871527854e-11	-1.4772887141583	3.09538686041699e-09	Down	Suberin
RMF110	-0.347717899632006	0.0166472213773257	0.258388572466755	0.699183297847678	NoSignificant	Suberin
