AT4G21020
AT5G44310
AT3G21370
AT1G05510
AT1G27461
AT1G73190
AT5G45690
AT2G21490
AT1G17810
AT1G48130
AT1G54870
AT1G32560
AT5G54740
AT4G16160
AT3G22640
AT2G42000
AT3G21380
AT3G15670
AT5G07330
AT1G54860
AT5G22470
AT4G26740
AT2G28490
AT4G25140
AT5G40420
AT1G03890
AT1G02700
AT1G03880
AT4G27140
AT5G44120
AT5G01300
AT5G55240
AT4G27160
AT4G28520
AT3G01570
AT4G27150
AT3G15280
AT2G38905
AT5G51210
AT5G07500
AT4G18920
AT4G26590
